instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
A Better U Beauty Barber Academy,35,NM,1,1,-2,-2,-2,-2,-2,1,,,,,59,52,96,88,0,,,,,,,,,,,1,1600,47,36,11
A T Still University of Health Sciences,29,MO,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Aaniiih Nakoda College,30,MT,1,1,0,2,2,2,2,1,,,,,,133,32,96,0,,,,,,3600,1300,3600,3080,3080,,,93,43,50
ABC Adult School,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,20,185,28,30,0,,,,,,,,,,,9,0,122,22,100
ABC Beauty Academy,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,93,65,88,93,0,,,,,,,,,,,3,0,65,12,53
ABCO Technology,6,CA,1,1,0,2,2,2,2,1,,,,,100,121,100,55,0,,,,,,,,,,,11,8325,94,75,19
Abcott Institute,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,63,166,100,97,0,,,,,,,,,,,3,0,166,17,149
Abilene Christian University,48,TX,1,1,1,1,1,1,1,2,59402,59402,64,13,80,3188,60,100,100,5,10510,6714,862,47,42380,1250,42380,42100,42100,,,3051,1227,1824
Abilene Christian University-Undergraduate Online,48,TX,1,1,1,1,1,1,1,2,,,100,72,40,918,,100,43,3,150,150,50,,14520,1250,14520,14220,14220,,,616,93,523
Abraham Baldwin Agricultural College,13,GA,1,1,0,2,2,2,2,2,16665,23571,77,55,69,3768,29,94,59,5,2618,2020,917,33,10101,1000,3195,2563,9469,,,2473,1092,1381
Abraham Lincoln University,6,CA,1,1,0,2,2,2,2,1,,,,,100,49,,100,0,,,,,,10440,938,10440,8640,8640,,,48,22,26
Academia Medical Institute,39,OH,1,1,-2,-2,-2,-2,-2,2,,,41,99,67,133,,100,0,3,321,131,130,,14498,1050,14498,13000,13000,,,133,9,124
Academy College,27,MN,1,1,0,2,2,2,2,1,,,,,67,118,100,44,0,,,,,,18252,2102,18252,17812,17812,,,118,103,15
Academy Di Capelli-School of Cosmetology,9,CT,1,1,-2,-2,-2,-2,-2,1,,,,,37,188,74,87,0,,,,,,,,,,,3,3305,97,25,72
Academy di Firenze,16,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Careers and Technology,45,SC,1,1,-2,-2,-2,-2,-2,1,,,,,67,45,55,83,0,,,,,,,,,,,1,1131,45,2,43
Academy for Five Element Acupuncture,12,FL,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Academy for Jewish Religion,36,NY,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Academy for Jewish Religion California,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Academy for Nursing and Health Occupations,12,FL,1,1,0,2,2,2,2,1,,,,,0,559,52,89,11,,,,,,,,,,,3,3961,559,53,506
Academy for Salon Professionals,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,94,140,88,65,0,,,,,,,,,,,2,2088,75,0,75
Academy of Allied Health Careers,47,TN,1,1,-2,-2,-2,-2,-2,1,,,,,,196,58,61,0,,,,,,,,,,,6,675,133,7,126
Academy of Art University,6,CA,1,1,1,2,1,2,1,1,55579,55579,,,67,4191,40,78,46,,,,,,28024,938,28024,27024,27024,,,2166,1008,1158
Academy of Beauty Professionals,55,WI,1,1,-2,-2,-2,-2,-2,1,,,,,100,65,67,77,0,,,,,,,,,,,4,972,29,0,29
Academy of Beauty Professionals,55,WI,1,1,-2,-2,-2,-2,-2,1,,,,,100,77,63,79,0,,,,,,,,,,,4,320,31,7,24
Academy of Beauty Professionals,55,WI,1,1,-2,-2,-2,-2,-2,1,,,,,89,84,57,74,0,,,,,,,,,,,4,320,26,2,24
Academy of Beauty Professionals,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,57,36,40,95,0,,,,,,,,,,,2,1063,27,1,26
Academy of Career Training,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,87,24,93,0,0,,,,,,,,,,,6,300,13,3,10
Academy of Careers and Technology,54,WV,1,1,-2,-2,-2,-2,-2,1,,,,,80,147,78,100,16,,,,,,,,,,,7,1100,94,13,81
Academy of Chinese Culture and Health Sciences,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Academy of Cosmetology,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,73,121,39,71,0,,,,,,,,,,,9,1500,115,23,92
Academy of Cosmetology Inc,30,MT,1,1,-2,-2,-2,-2,-2,1,,,,,94,35,94,62,0,,,,,,,,,,,1,2200,35,1,34
Academy of Cosmetology  Barbering  and Esthetics,40,OK,1,1,-2,-2,-2,-2,-2,1,,,,,93,40,,83,0,,,,,,,,,,,5,1950,40,7,33
Academy of Esthetics and Cosmetology,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,50,28,71,80,0,,,,,,,,,,,5,1500,22,9,13
Academy of Hair Design-Grenada,28,MS,1,1,-2,-2,-2,-2,-2,1,,,,,67,33,73,82,0,,,,,,,,,,,2,1200,33,1,32
Academy of Hair Design-Jackson,28,MS,1,1,-2,-2,-2,-2,-2,1,,,,,100,77,67,100,0,,,,,,,,,,,2,1200,49,38,11
Academy of Hair Design-Jasper,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,23,49,97,100,3,,,,,,,,,,,2,1300,30,12,18
Academy of Hair Design-Las Vegas,32,NV,1,1,-2,-2,-2,-2,-2,1,,,,,95,213,82,83,0,,,,,,,,,,,4,2800,128,5,123
Academy of Hair Design-Lufkin,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,35,74,84,100,2,,,,,,,,,,,2,1300,47,6,41
Academy of Hair Design-Pearl,28,MS,1,1,-2,-2,-2,-2,-2,1,,,,,100,48,67,100,0,,,,,,,,,,,2,1200,31,1,30
Academy of Hair Design-Springfield,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,69,267,60,44,5,,,,,,,,,,,4,2200,122,51,71
Academy of Hair Technology,45,SC,1,1,-2,-2,-2,-2,-2,1,,,,,100,95,57,80,0,,,,,,,,,,,3,400,23,0,23
Academy of Interactive Entertainment,53,WA,1,1,-2,2,2,2,2,2,,,65,52,66,76,97,69,0,3,180,48,48,,24600,,24600,24600,24600,,,113,69,44
Academy of Interactive Entertainment,22,LA,1,1,0,2,2,2,2,2,,,80,100,87,113,100,94,6,3,60,117,61,,24600,,24600,24600,24600,,,76,59,17
Academy of Massage and Bodywork,10,DE,2,2,-2,-2,-2,-2,-2,1,,,,,,113,,,,,,,,,,,,,,2,,,,
Academy of Natural Therapy Inc,8,CO,2,2,-2,-2,-2,-2,-2,1,,,,,,52,,,,,,,,,,,,,,2,,,,
Academy of Professional Cosmetology,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,100,171,40,15,0,,,,,,,,,,,4,2500,125,3,122
Academy of Salon and Spa,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,81,81,70,88,0,,,,,,,,,,,3,2099,81,2,79
Academy of Salon Professionals,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,86,46,67,72,0,,,,,,,,,,,4,0,46,4,42
Academy of Vocal Arts,42,PA,2,2,-2,2,2,2,2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Acaydia School of Aesthetics,49,UT,1,1,-2,-2,-2,-2,-2,1,,,,,93,116,90,43,0,,,,,,,,,,,3,2275,77,0,77
Access Careers,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,90,408,90,92,0,,,,,,,,,,,6,225,54,7,47
Access Careers-Islandia,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,88,314,72,72,0,,,,,,,,,,,4,225,27,5,22
Ace Institute of Technology,36,NY,1,1,-2,2,2,2,2,1,,,,,81,264,71,88,0,,,,,,,,,,,4,375,264,120,144
Acupuncture and Integrative Medicine College-Berkeley,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Acupuncture and Massage College,12,FL,1,1,0,2,2,2,2,1,,,,,,63,79,80,0,,,,,,11980,406,11980,9707,9707,,,63,24,39
Adams State University,8,CO,1,1,1,1,1,1,1,1,25199,37271,,,55,1576,32,96,76,,,,,,21848,1460,9776,6072,18144,,,1067,575,492
Adelphi University,36,NY,1,1,1,2,1,1,1,2,71834,71834,78,10,83,5124,69,95,92,5,17111,13263,1368,23,47290,1020,47290,45450,45450,,,4891,1647,3244
Adler Graduate School,27,MN,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Adler University,17,IL,2,2,0,2,2,2,2,-2,,,,,,9,,,,,,,,,,,,,,,,,,
Adrian College,26,MI,1,1,1,1,1,1,1,2,57004,57004,68,23,60,1678,56,99,99,5,3054,2088,484,24,40556,1100,40556,39280,39280,,,1621,881,740
Adrian H. Wallace Barber Academy,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,100,29,88,100,0,,,,,,,,,,,1,1300,29,24,5
Adrian's Beauty College of Turlock,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,84,71,65,83,0,,,,,,,,,,,4,2525,71,0,71
Adult and Community Education-Hudson,39,OH,1,1,-2,-2,-2,-2,-2,2,,,100,100,83,37,95,88,0,3,9,9,9,,,,,,,1,1642,37,7,30
Adult and Continuing Education-BCTS,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,87,54,73,72,0,,,,,,,,,,,4,455,54,50,4
Advance Beauty College,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,79,448,84,69,3,,,,,,,,,,,5,960,295,27,268
Advance Beauty Techs Academy,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,82,85,62,89,0,,,,,,,,,,,5,1711,78,23,55
Advance Science International College,12,FL,1,1,0,2,2,2,2,1,,,,,100,44,100,100,0,,,,,,,,,,,2,2500,44,10,34
Advanced Barber College and Hair Design,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,79,150,54,86,0,,,,,,,,,,,2,1440,149,95,54
Advanced Career Institute,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,,780,73,60,0,,,,,,,,,,,5,25,679,607,72
Advanced College of Cosmetology,55,WI,1,1,-2,-2,-2,-2,-2,1,,,,,92,34,83,78,0,,,,,,,,,,,1,2190,34,0,34
Advanced Technology Institute,51,VA,1,1,0,2,2,2,2,2,,,61,58,81,377,73,71,37,3,333,203,117,,14568,,14568,13848,13848,,,377,341,36
Advanced Training Institute,32,NV,2,2,-2,-2,-2,-2,-2,1,,,,,,545,,,,,,,,,,,,,,4,,,,
Advanced Welding Institute,50,VT,1,1,-2,-2,-2,-2,-2,1,,,,,91,97,89,81,0,,,,,,,,,,,2,5750,97,84,13
Advantage Career Institute,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,,149,82,65,5,,,,,,,,,,,3,634,100,8,92
AdventHealth University,12,FL,1,1,0,2,2,2,2,1,45723,45723,,,48,1221,36,93,76,,,,,,20880,3600,20880,19980,19980,,,461,68,393
Aesthetic Science Institute,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,100,157,86,61,0,,,,,,,,,,,3,1000,46,0,46
Aesthetics Institute,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,100,16,,,,,,,,,,,,,,1,,16,0,16
Agape College of Business and Science,6,CA,1,1,0,2,2,2,2,1,,,,,100,41,,65,6,,,,,,8132,1847,8132,10104,10104,,,41,4,37
Agnes Scott College,13,GA,1,1,1,2,1,2,1,2,64812,64812,67,19,80,911,71,100,100,5,1857,1250,241,30,48150,1000,48150,47820,47820,,,904,0,904
Agora University,51,VA,2,2,0,2,2,2,2,-2,,,,,,,,,,,,,,,,,,,,,,,,
AI Miami International University of Art and Design,12,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken Technical College,45,SC,1,1,0,2,2,2,2,1,,,,,57,2218,19,93,16,,,,,,6916,1500,5404,4896,6408,,,668,260,408
Aims Community College,8,CO,1,1,0,2,2,2,2,1,,,,,63,7529,35,75,39,,,,,,11306,1488,3170,2928,11064,,,1668,851,817
Air Force Institute of Technology-Graduate School of Engineering & Management,39,OH,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Alabama A & M University,1,AL,1,1,1,1,1,1,1,2,27482,36092,66,19,64,5845,29,88,66,5,15628,10349,1944,24,18634,2192,10024,8610,17220,,,5221,2142,3079
Alabama College of Osteopathic Medicine,1,AL,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Alabama School of Nail Technology & Cosmetology,1,AL,1,1,-2,-2,-2,-2,-2,1,,,,,68,102,91,93,0,,,,,,,,,,,2,3061,102,3,99
