UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV)
100654,Alabama A & M University,4246,83,10797,5519,
100663,University of Alabama at Birmingham,10058,74,9889,5927,6
100706,University of Alabama in Huntsville,5324,70,9922,4469,
100724,Alabama State University,3235,92,10501,4970,
100751,The University of Alabama,23048,73,14421,4922,7
100830,Auburn University at Montgomery,3159,77,9078,5408,5
100858,Auburn University,16225,65,9724,4825,9
100937,Birmingham-Southern College,1040,98,13901,5212,9
101189,Faulkner University,1475,77,11375,4827,10
101365,Herzing University-Birmingham,506,83,5053,4011,
101435,Huntingdon College,832,99,15914,4770,
101480,Jacksonville State University,7887,98,7234,5032,5
101587,University of West Alabama,1580,68,3247,2109,
101648,Marion Military Institute,284,90,9989,5354,
101693,University of Mobile,1106,67,15085,4866,
101709,University of Montevallo,1978,89,12167,5142,10
101879,University of North Alabama,5533,91,8953,4993,7
101912,Oakwood University,1319,95,17852,5411,8
102049,Samford University,3500,97,20171,4958,13
102094,University of South Alabama,7655,87,8018,5002,5
102234,Spring Hill College,920,93,13853,5082,6
102270,Stillman College,658,93,10997,6586,
102368,Troy University,8217,73,6489,4394,
102377,Tuskegee University,2094,96,20334,5266,
102395,United States Sports Academy,48,69,1637,1790,
102553,University of Alaska Anchorage,5375,52,6993,4025,
102614,University of Alaska Fairbanks,3951,68,6091,3929,
102632,University of Alaska Southeast,767,44,6553,3901,5
102669,Alaska Pacific University,332,90,12413,4736,
104151,Arizona State University Campus Immersion,52697,81,12108,5161,5
104179,University of Arizona,31470,84,13279,4850,7
104586,Embry-Riddle Aeronautical University-Prescott,2737,90,19541,4982,4
104717,Grand Canyon University,52628,80,7183,4829,
105330,Northern Arizona University,23472,97,9955,4601,5
105589,Prescott College,358,92,16533,4890,
105899,Arizona Christian University,938,92,18083,5499,
106245,University of Arkansas at Little Rock,3510,59,7915,4428,10
106342,Lyon College,577,99,22631,4836,
106397,University of Arkansas,14316,59,8877,4462,11
106412,University of Arkansas at Pine Bluff,2432,98,11636,5164,6
106458,Arkansas State University,8047,98,8371,4883,8
106467,Arkansas Tech University,6342,71,9067,4776,
106704,University of Central Arkansas,6875,83,8652,4913,9
106713,Central Baptist College,556,89,10314,4491,
107044,Harding University,3287,89,12751,4657,11
107071,Henderson State University,1646,74,8473,4928,
107080,Hendrix College,1098,100,40765,4695,14
107141,John Brown University,1303,73,19137,4692,7
107512,Ouachita Baptist University,1550,90,24700,5024,5
107558,University of the Ozarks,784,100,18684,5439,10
107585,University of Arkansas Community College-Morrilton,1942,99,3886,3922,4
107877,Williams Baptist University,586,97,17375,5209,4
107983,Southern Arkansas University Main Campus,3123,99,8394,5199,
108852,American Academy of Dramatic Arts-Los Angeles,211,97,9689,5107,
109651,Art Center College of Design,1374,68,15773,4931,6
109785,Azusa Pacific University,3773,96,21726,4630,6
110097,Biola University,3366,94,23947,5199,6
110361,California Baptist University,7725,94,19418,4848,5
110370,California College of the Arts,1029,82,24412,5027,
110404,California Institute of Technology,613,62,47135,4847,7
110413,California Lutheran University,2431,94,29756,5103,7
110422,California Polytechnic State University-San Luis Obispo,10615,50,7853,4942,8
110468,Alliant International University-San Diego,32,8,5198,4400,
110486,California State University-Bakersfield,7281,78,9655,4848,
