UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV),
222178,Abilene Christian University,3070,98,24769,4826,9,
231411,Advanced Technology Institute,252,54,7400,6098,,
100654,Alabama A & M University,4246,83,10797,5519,,
241331,Albizu University-San Juan,595,89,5762,6137,,
210571,Albright College,1319,96,19896,4969,9,
237118,Alderson Broaddus University,685,91,23716,4800,,
210669,Allegheny College,1551,98,42099,4861,13,
217624,Allen University,548,97,10681,5471,4,
210775,Alvernia University,1684,83,24174,4553,9,
238193,Alverno College,799,87,18734,4623,7,
443599,American College of Healthcare Sciences,387,48,2049,1990,,
441636,American Institute of Alternative Medicine,416,87,3861,4547,,
217633,Anderson University,2768,88,22544,4708,11,
222831,Angelo State University,5140,56,6898,4828,,
237136,Appalachian Bible College,167,87,14254,4560,,
211088,Arcadia University,1655,90,31006,4950,12,
421708,Arizona College of Nursing-Tempe,488,45,4850,4562,,
214023,ASPIRA City College,5,63,6729,5304,,
219000,Augustana University,1646,96,23837,4505,5,
222983,Austin College,1204,99,32186,4962,13,
219602,Austin Peay State University,8328,99,8454,4692,6,
446048,Ave Maria University,1240,98,20932,5093,5,
231420,Averett University,1051,94,22440,4653,,
206817,Bacone College,253,97,15317,4758,,
245777,Bais Medrash Elyon,40,100,11618,7763,,
449658,Bais Medrash Toras Chesed,83,71,7863,7331,,
219639,Baptist Health Sciences University,906,100,8029,4732,,
223117,Baptist Missionary Association Theological Seminary,51,100,3239,4870,,
223232,Baylor University,13672,90,26225,4881,8,
384254,Beacon College,422,92,21862,5094,100,
238324,Bellin College,355,69,9501,4219,,
219709,Belmont University,5573,79,20411,5279,8,
238333,Beloit College,936,93,44610,4812,13,
217721,Benedict College,1870,98,12476,5269,,
230816,Bennington College,688,89,48086,4985,21,
237181,Bethany College,576,100,28417,5083,,
219718,Bethel University,2873,83,8133,4463,,
219046,Black Hills State University,2113,63,4601,4422,,
237215,Bluefield State University,1036,76,8377,4691,,
